"origin_id","origin"
1,保加利亞
2,澳洲/比利時
3,加拿大
4,波蘭
5,德國/法國
6,韓國
7,英國
8,德國
9,義大利
10,西班牙
11,瑞典
12,
13,丹麥
14,泰國
15,法國
16,日本
17,澳大利亞/美國/意大利
18,Spain/France
19,印度
20,中國
21,馬其頓共和國
22,韓國/香港
23,英格蘭
24,香港
25,瑞士
26,歐盟
27,巴基斯坦
28,美國/香港
29,澳大利亞
30,瑞士/歐盟
31,德國/西班牙
32,台灣
33,美國/澳洲/越南/愛爾蘭
34,美國
35,葡萄牙
